month,year,ranking,player_id,points
January,2016,78,6,672
February,2016,89,6,631
March,2016,87,6,619
April,2016,81,6,694
May,2016,58,6,860
June,2016,29,6,1311
July,2016,21,6,1661
August,2016,27,6,1489
September,2016,18,6,1831
October,2016,16,6,2036
November,2016,15,6,2196
December,2016,15,6,2156
January,2017,15,6,2156
February,2017,17,6,2131
March,2017,15,6,2421
April,2017,17,6,2376
May,2017,14,6,2746
June,2017,16,6,2365
July,2017,16,6,2570
August,2017,18,6,2255
September,2017,22,6,2030
October,2017,23,6,1825
November,2017,18,6,2235
December,2017,18,6,2235
January,2013,654,7,33
February,2013,534,7,55
March,2013,371,7,109
April,2013,300,7,148
May,2013,169,7,302
June,2013,147,7,360
July,2013,125,7,466
August,2013,91,7,587
September,2013,67,7,733
October,2013,66,7,735
November,2013,65,7,739
December,2013,64,7,739
January,2014,61,7,739
February,2014,65,7,731
March,2014,63,7,733
April,2014,64,7,717
May,2014,63,7,734
June,2014,73,7,704
July,2014,62,7,799
August,2014,69,7,761
September,2014,74,7,701
October,2014,63,7,771
November,2014,50,7,841
December,2014,51,7,841
January,2015,49,7,841
February,2015,54,7,841
March,2015,54,7,866
April,2015,54,7,866
May,2015,60,7,825
June,2015,54,7,860
July,2015,67,7,735
August,2015,56,7,825
September,2015,60,7,775
October,2015,62,7,780
November,2015,69,7,719
December,2015,67,7,734
January,2016,67,7,734
February,2016,67,7,734
March,2016,52,7,864
April,2016,52,7,879
May,2016,46,7,979
June,2016,43,7,995
July,2016,46,7,950
August,2016,56,7,879
September,2016,39,7,1145
October,2016,38,7,1145
November,2016,30,7,1370
December,2016,30,7,1370
January,2017,30,7,1370
February,2017,26,7,1450
March,2017,23,7,1690
April,2017,19,7,2025
May,2017,21,7,1965
June,2017,17,7,2360
July,2017,17,7,2360
August,2017,15,7,2350
September,2017,10,7,2855
October,2017,10,7,2855
November,2017,10,7,2615
December,2017,10,7,2615
January,2013,179,8,292
February,2013,168,8,323
March,2013,151,8,361
April,2013,149,8,357
May,2013,127,8,427
June,2013,133,8,414
July,2013,135,8,419
August,2013,136,8,434
September,2013,137,8,412
October,2013,112,8,503
November,2013,114,8,501
December,2013,117,8,480
January,2014,118,8,480
February,2014,116,8,485
March,2014,130,8,449
April,2014,128,8,455
May,2014,126,8,449
June,2014,96,8,595
July,2014,96,8,577
August,2014,98,8,583
September,2014,85,8,647
October,2014,79,8,670
November,2014,78,8,660
December,2014,61,8,775
January,2015,60,8,775
February,2015,63,8,770
March,2015,63,8,780
April,2015,62,8,792
May,2015,57,8,840
June,2015,65,8,760
July,2015,65,8,745
August,2015,68,8,735
September,2015,68,8,720
October,2015,72,8,695
November,2015,77,8,663
December,2015,88,8,624
January,2016,88,8,624
February,2016,90,8,621
March,2016,84,8,649
April,2016,88,8,639
May,2016,62,8,784
June,2016,69,8,746
July,2016,70,8,746
August,2016,72,8,746
September,2016,63,8,781
October,2016,70,8,743
November,2016,58,8,807
December,2016,52,8,864
January,2017,52,8,864
February,2017,52,8,902
March,2017,44,8,972
April,2017,41,8,990
May,2017,46,8,912
June,2017,35,8,1085
July,2017,37,8,1085
August,2017,36,8,1180
September,2017,28,8,1585
October,2017,29,8,1585
November,2017,26,8,1675
December,2017,26,8,1675
January,2013,840,9,15
February,2013,843,9,15
March,2013,330,9,127
April,2013,328,9,127
May,2013,265,9,175
June,2013,213,9,219
July,2013,214,9,219
August,2013,211,9,219
September,2013,186,9,254
October,2013,177,9,289
November,2013,183,9,280
December,2013,182,9,277
January,2014,183,9,277
February,2014,157,9,332
March,2014,226,9,220
April,2014,220,9,220
May,2014,159,9,350
June,2014,173,9,305
July,2014,66,9,760
August,2014,70,9,760
September,2014,53,9,860
October,2014,57,9,830
November,2014,51,9,830
December,2014,52,9,830
January,2015,50,9,830
February,2015,35,9,1145
March,2015,36,9,1135
April,2015,34,9,1160
May,2015,35,9,1130
June,2015,25,9,1340
July,2015,41,9,1065
August,2015,38,9,1065
September,2015,42,9,1035
October,2015,34,9,1125
November,2015,30,9,1260
December,2015,30,9,1260
January,2016,30,9,1260
February,2016,41,9,990
March,2016,27,9,1420
April,2016,20,9,1765
May,2016,21,9,1705
June,2016,19,9,1855
July,2016,18,9,1855
August,2016,18,9,1865
September,2016,15,9,2140
October,2016,15,9,2050
November,2016,13,9,2460
December,2016,13,9,2460
January,2017,13,9,2460
February,2017,15,9,2415
March,2017,16,9,2255
April,2017,16,9,2425
May,2017,17,9,2335
June,2017,20,9,2110
July,2017,20,9,2110
August,2017,24,9,1680
September,2017,20,9,2245
October,2017,19,9,2245
November,2017,21,9,2010
December,2017,21,9,2010
January,2013,15,10,2175
February,2013,13,10,2305
March,2013,17,10,2050
April,2013,16,10,2095
May,2013,14,10,2225
June,2013,15,10,2225
July,2013,15,10,2225
August,2013,13,10,2225
September,2013,11,10,2555
October,2013,11,10,2815
November,2013,11,10,2860
December,2013,11,10,2860
January,2014,11,10,2860
February,2014,11,10,2690
March,2014,11,10,2485
April,2014,11,10,2580
May,2014,9,10,2580
June,2014,9,10,3245
July,2014,6,10,3920
August,2014,6,10,4375
September,2014,7,10,4225
October,2014,8,10,3965
November,2014,8,10,4440
December,2014,8,10,4440
January,2015,8,10,4440
February,2015,6,10,4845
March,2015,6,10,4980
April,2015,6,10,5070
May,2015,6,10,5070
June,2015,8,10,4440
July,2015,8,10,3810
August,2015,10,10,3400
September,2015,9,10,2790
October,2015,9,10,2740
November,2015,14,10,2170
December,2015,14,10,2170
January,2016,14,10,2170
February,2016,11,10,2630
March,2016,14,10,2410
April,2016,12,10,2740
May,2016,10,10,2740
June,2016,9,10,2965
July,2016,7,10,4285
August,2016,7,10,4465
September,2016,6,10,4760
October,2016,6,10,4510
November,2016,4,10,5050
December,2016,3,10,5450
January,2017,3,10,5450
February,2017,4,10,4930
March,2017,4,10,5080
April,2017,6,10,4345
May,2017,6,10,4165
June,2017,6,10,4450
July,2017,7,10,4150
August,2017,10,10,3220
September,2017,11,10,2825
October,2017,12,10,2825
November,2017,24,10,1795
December,2017,24,10,1795
